wait | CN: 待 | EN: Wait
JP_YAKUNAME_21 | CN: 一气通贯 | EN: Pure Straight
JP_YAKUNAME_22 | CN: 三暗刻 | EN: Three Concealed Pungs
JP_YAKUNAME_23 | CN: 三杠子 | EN: Three Kongs
JP_YAKUNAME_24 | CN: 混全带幺九 | EN: Outside Hand
JP_YAKUNAME_25 | CN: 混老头 | EN: All Terminals and Honors
JP_YAKUNAME_26 | CN: 小三元 | EN: Little Three Dragons
JP_YAKUNAME_27 | CN: 纯全带幺九 | EN: Terminals in All Sets
JP_YAKUNAME_28 | CN: 混一色 | EN: Half Flush
JP_YAKUNAME_29 | CN: 两杯口 | EN: Twice Pure Double Chows
JP_YAKUNAME_30 | CN: 人和 | EN: Blessing of Man
JP_YAKUNAME_31 | CN: 清一色 | EN: Full Flush
JP_YAKUNAME_32 | CN: 天和 | EN: Blessing of Heaven
JP_YAKUNAME_33 | CN: 地和 | EN: Blessing of Earth
JP_YAKUNAME_34 | CN: 四暗刻 | EN: Four Concealed Pungs
JP_YAKUNAME_35 | CN: 四暗刻单骑 | EN: Pair-Wait Four Concealed Pungs
JP_YAKUNAME_36 | CN: 国士无双 | EN: Thirteen Orphans
JP_YAKUNAME_37 | CN: 国士无双十三面 | EN: Thirteen-Wait Thirteen Orphans
JP_YAKUNAME_38 | CN: 大三元 | EN: Big Three Dragon
JP_YAKUNAME_39 | CN: 字一色 | EN: All Honors
JP_YAKUNAME_40 | CN: 大七星 | EN: Big Seven Stars
JP_YAKUNAME_41 | CN: 大四喜 | EN: Big Four Winds
JP_YAKUNAME_42 | CN: 小四喜 | EN: Little Four Winds
JP_YAKUNAME_43 | CN: 四杠子 | EN: Four Kongs
JP_YAKUNAME_44 | CN: 绿一色 | EN: All Green
JP_YAKUNAME_45 | CN: 清老头 | EN: All Terminals
JP_YAKUNAME_46 | CN: 九莲宝灯 | EN: Nine Gates
JP_YAKUNAME_47 | CN: 纯正九莲宝灯 | EN: True Nine Gates
JP_YAKUNAME_48 | CN: 三色通贯 | EN: Mixed Straight
JP_YAKUNAME_49 | CN: 无发绿一色 | EN: All Green without Dragon
JP_YAKUNAME_50 | CN: 三连刻 | EN: Three Shifted Pungs
JP_YAKUNAME_51 | CN: 四连刻 | EN: Four Shifted Pungs
JP_YAKUNAME_52 | CN: 一色三同顺 | EN: Pure Triple Chow
JP_YAKUNAME_53 | CN: 一色四同顺 | EN: Pure Quadruple Chow
JP_YAKUNAME_54 | CN: 大车轮 | EN: Big Wheels
JP_YAKUNAME_55 | CN: 大竹林 | EN: Big Bamboo Forest
JP_YAKUNAME_56 | CN: 大数邻 | EN: Big Numerous Neighbours
JP_YAKUNAME_57 | CN: 小车轮 | EN: Little Wheels
JP_YAKUNAME_58 | CN: 小竹林 | EN: Little Bamboo Forest
JP_YAKUNAME_59 | CN: 小数邻 | EN: Little Numerous Neighbours
JP_YAKUNAME_60 | CN: 燕返 | EN: Swallow Counter
JP_YAKUNAME_61 | CN: 杠振 | EN: Discard After a Kong
JP_YAKUNAME_62 | CN: 一筒摸月 | EN: 1 Circles Under the Sea
JP_YAKUNAME_63 | CN: 九筒捞鱼 | EN: 9 Circles Under the River
JP_YAKUNAME_64 | CN: 五筒开花 | EN: 5 Circles Blossoming
JP_YAKUNAME_65 | CN: 二索抢杠 | EN: Robbing 2 Bamboo Kong
JP_YAKUNAME_66 | CN: 石上三年 | EN: Three Years on a Stone
JP_YAKUNAME_67 | CN: 五门齐 | EN: All Types
JP_YAKUNAME_68 | CN: 十二落抬 | EN: Twelve Open Tiles
JP_YAKUNAME_69 | CN: 役牌-北 | EN: North Pung
JP_YAKUNAME_70 | CN: 三风刻 | EN: Big Three Winds
JP_YAKUNAME_70_EX | CN: 客风三刻 | EN: Guest Wind Pungs
JP_YAKUNAME_71 | CN: 开立直 | EN: Open Riichi
JP_YAKUNAME_96 | CN: 宝牌 | EN: Dora
JP_YAKUNAME_97 | CN: 里宝牌 | EN: Ura Dora
JP_YAKUNAME_98 | CN: 红宝牌 | EN: Red Dora
JP_YAKUNAME_99 | CN: 拔北宝牌 | EN: Nuki Dora
JP_YAKUNAME_100 | CN: 北宝牌 | EN: North Dora
JP_YAKUNAME_96_EX | CN: 表宝牌 | EN: Front Dora
JP_FUNAME_0_0 | CN: 中张牌 | EN: Simple 
JP_FUNAME_0_1 | CN: 幺九牌 | EN: Non-Simple 
JP_FUNAME_1_0 | CN: 明 | EN: Open 
JP_FUNAME_1_1 | CN: 暗 | EN: Concealed 
JP_FUNAME_2_0 | CN: 刻 | EN: Pung
JP_FUNAME_2_1 | CN: 杠 | EN: Kong
JP_FUNAME_8 | CN: 底符 | EN: Winning
JP_FUNAME_9 | CN: 门前清荣和 | EN: Concealed on Discard
JP_FUNAME_10 | CN: 七对子 | EN: Seven Pairs
JP_FUNAME_11 | CN: 自摸 | EN: Self-draw
JP_FUNAME_12 | CN: 雀头-场风牌 | EN: Pair of Seat Wind
JP_FUNAME_13 | CN: 雀头-自风牌 | EN: Pair of Prevailing Wind
JP_FUNAME_14 | CN: 雀头-白 | EN: Pair of White Dragon
JP_FUNAME_15 | CN: 雀头-发 | EN: Pair of Green Dragon
JP_FUNAME_16 | CN: 雀头-中 | EN: Pair of Red Dragon
JP_FUNAME_17 | CN: 边张 | EN: Edge Wait
JP_FUNAME_18 | CN: 坎张 | EN: Closed Wait
JP_FUNAME_19 | CN: 单骑 | EN: Pair Wait
JP_FUNAME_20 | CN: 雀头-连风牌 | EN: Pair of Prevailing and Seat Wind
yakuman | CN: 役满 | EN: Yakuman
times_2 | CN: 两倍 | EN: Double 
times_3 | CN: 三倍 | EN: Triple 
times_4 | CN: 四倍 | EN: Quadruple 
times_5 | CN: 五倍 | EN: Quintuple 
times_6 | CN: 六倍 | EN: Sextuple 
times_7 | CN: 七倍 | EN: Septuple 
times_8 | CN: 八倍 | EN: Octuple 
times_9 | CN: 九倍 | EN: Nonuple 
times_10 | CN: 十倍 | EN: Decuple 
times_11 | CN: 十一倍 | EN: Undecuple 
times_12 | CN: 十二倍 | EN: Duodecuple 
times_n | CN: 倍 | EN: times 
mangan | CN: 满贯 | EN: Mangan
haneman | CN: 跳满 | EN: Haneman
baiman | CN: 倍满 | EN: Baiman
sanbaiman | CN: 三倍满 | EN: Sanbaiman
counted_yakuman | CN: 累计役满 | EN: Counted Yakuman
JP_FAN_unit | CN: 番 | EN: Fan
JP_FU_unit | CN: 符 | EN: Minipoints
kiri_mangan | CN: 切上满贯 | EN: Rounded-Up Mangan
wrong_win | CN: 错和 | EN: False Win
_fanname_format_left | CN:  | EN: <span class='fan'>
_fanname_format_right | CN:  | EN: </span>
auto_division | CN:   | EN: <span class='cmp-word-long'> </span><span class='cmp-word-short'><br></span>
SC_FAN_NAME_1 | CN: 清一色 | EN: Full Flush
SC_FAN_NAME_2 | CN: 将将和 | EN: All Generals
SC_FAN_NAME_3 | CN: 带幺九 | EN: Outside Hand
SC_FAN_NAME_4 | CN: 七对 | EN: Seven Pairs
SC_FAN_NAME_5 | CN: 大对子 | EN: All Pungs
SC_FAN_NAME_6 | CN: 金钩钓 | EN: Golden Single Wait
SC_FAN_NAME_7 | CN: 根 | EN: Root
SC_FAN_NAME_8 | CN: 杠上花 | EN: Win after Kong
